cruise,file,time,lat,lon,opp_evt_ratio,flow_rate,file_duration,pop,n_count,abundance,fsc_small_mean,chl_small_mean,pe_mean,fsc_perp_mean,flag
SCOPE_1,2014_345/2014-12-11T23-09-03+00-00,2014-12-11 23:09:03,22.6746,-157.9681,0.00774864079681197,2277.73616,180.124,picoeuk,190,3.58595077261272,516.802350765101,868.611306505561,10.7674254239398,58.5301922559422,0
SCOPE_1,2014_345/2014-12-11T23-09-03+00-00,2014-12-11 23:09:03,22.6746,-157.9681,0.00774864079681197,2277.73616,180.124,prochloro,17688,333.833143505126,6.31752049940607,8.87826028991597,1.43715452490542,58.4519678348551,0
SCOPE_1,2014_345/2014-12-11T23-09-03+00-00,2014-12-11 23:09:03,22.6746,-157.9681,0.00774864079681197,2277.73616,180.124,synecho,190,3.58595077261272,57.3371218510171,63.3648677832808,74.0155204142636,58.5048739749514,0
SCOPE_1,2014_345/2014-12-11T23-09-03+00-00,2014-12-11 23:09:03,22.6746,-157.9681,0.00774864079681197,2277.73616,180.124,unknown,879,16.5897406796136,109.921006693873,8.4098250324098,2.5581393136816,58.4842627523849,0
SCOPE_1,2014_345/2014-12-11T23-12-03+00-00,2014-12-11 23:12:03,22.6746,-157.9681,0.00778657166967223,2277.73616,180.059,beads,48,0.901836798232474,741.633755796371,174.787928993477,1372.62677200339,58.5670079047733,0
SCOPE_1,2014_345/2014-12-11T23-12-03+00-00,2014-12-11 23:12:03,22.6746,-157.9681,0.00778657166967223,2277.73616,180.059,picoeuk,195,3.66371199281943,602.308562494096,1015.89730957548,14.4518083082642,58.5386364336386,0
SCOPE_1,2014_345/2014-12-11T23-12-03+00-00,2014-12-11 23:12:03,22.6746,-157.9681,0.00778657166967223,2277.73616,180.059,prochloro,17722,332.965661214081,6.34225762417033,8.82506971102055,1.43978962283598,58.4533310726651,0
SCOPE_1,2014_345/2014-12-11T23-12-03+00-00,2014-12-11 23:12:03,22.6746,-157.9681,0.00778657166967223,2277.73616,180.059,synecho,164,3.08127572729429,57.4742975422543,66.8243558914809,62.072642758173,58.5110927158465,0
SCOPE_1,2014_345/2014-12-11T23-12-03+00-00,2014-12-11 23:12:03,22.6746,-157.9681,0.00778657166967223,2277.73616,180.059,unknown,861,16.176697568295,109.814913959511,7.52506953500254,3.55246301763307,58.4840291878285,0
SCOPE_1,2014_345/2014-12-11T23-15-03+00-00,2014-12-11 23:15:03,22.6745,-157.9681,0.00768916908957287,2277.73616,180.09,beads,44,0.837011646409187,724.037093623872,106.403543809767,1346.49799224796,58.5845617659889,0
SCOPE_1,2014_345/2014-12-11T23-15-03+00-00,2014-12-11 23:15:03,22.6745,-157.9681,0.00768916908957287,2277.73616,180.09,picoeuk,201,3.82362138473288,577.91551415692,1014.24602894763,12.0113241580023,58.5440915162616,0
SCOPE_1,2014_345/2014-12-11T23-15-03+00-00,2014-12-11 23:15:03,22.6745,-157.9681,0.00768916908957287,2277.73616,180.09,prochloro,17601,334.823681555639,6.33194696948415,8.82942401214636,1.43426948023415,58.4511668912355,0
SCOPE_1,2014_345/2014-12-11T23-15-03+00-00,2014-12-11 23:15:03,22.6745,-157.9681,0.00768916908957287,2277.73616,180.09,synecho,165,3.13879367403445,57.6869066274268,60.352889214766,67.2881109255186,58.5070863134917,0
SCOPE_1,2014_345/2014-12-11T23-15-03+00-00,2014-12-11 23:15:03,22.6745,-157.9681,0.00768916908957287,2277.73616,180.09,unknown,853,16.2266121451599,94.79076153193,7.93207742963748,3.59785619952823,58.4775315169215,0
SCOPE_1,2014_345/2014-12-11T23-18-04+00-00,2014-12-11 23:18:04,22.6745,-157.9682,0.0075593428822889,2277.73616,180.06,beads,48,0.928940249677164,719.811862595999,108.641449970563,1340.17998539701,58.5712100775358,0
SCOPE_1,2014_345/2014-12-11T23-18-04+00-00,2014-12-11 23:18:04,22.6745,-157.9682,0.0075593428822889,2277.73616,180.06,picoeuk,219,4.23828988915206,521.968325337043,955.445176523048,10.9704639150984,58.5342501752868,0
SCOPE_1,2014_345/2014-12-11T23-18-04+00-00,2014-12-11 23:18:04,22.6745,-157.9682,0.0075593428822889,2277.73616,180.06,prochloro,17429,337.302075242152,6.38454987733417,8.76349389587793,1.45154037861854,58.4520675234824,0
SCOPE_1,2014_345/2014-12-11T23-18-04+00-00,2014-12-11 23:18:04,22.6745,-157.9682,0.0075593428822889,2277.73616,180.06,synecho,201,3.88993729552313,61.1912692279167,62.9002048075784,68.5519132915959,58.5131841469022,0
SCOPE_1,2014_345/2014-12-11T23-18-04+00-00,2014-12-11 23:18:04,22.6745,-157.9682,0.0075593428822889,2277.73616,180.06,unknown,810,15.6758667133021,102.515481591545,9.57347016939997,3.05651901094476,58.4802758585435,0
SCOPE_1,2014_345/2014-12-11T23-21-04+00-00,2014-12-11 23:21:04,22.6746,-157.9681,0.00769104926113186,2277.73616,180.125,beads,42,0.798615136829164,702.944462201203,104.805597210966,1277.06377284793,58.5670410551639,0
SCOPE_1,2014_345/2014-12-11T23-21-04+00-00,2014-12-11 23:21:04,22.6746,-157.9681,0.00769104926113186,2277.73616,180.125,picoeuk,210,3.99307568414582,556.233966734023,969.236165311608,4.0330059466879,58.5377472175866,0
SCOPE_1,2014_345/2014-12-11T23-21-04+00-00,2014-12-11 23:21:04,22.6746,-157.9681,0.00769104926113186,2277.73616,180.125,prochloro,17643,335.475401406594,6.45240816137984,8.76731890810453,1.43805216693429,58.4494950225185,0
SCOPE_1,2014_345/2014-12-11T23-21-04+00-00,2014-12-11 23:21:04,22.6746,-157.9681,0.00769104926113186,2277.73616,180.125,synecho,169,3.21347519343163,64.7839339142692,70.5117694087898,78.8683158507577,58.5050929771229,0
SCOPE_1,2014_345/2014-12-11T23-21-04+00-00,2014-12-11 23:21:04,22.6746,-157.9681,0.00769104926113186,2277.73616,180.125,unknown,835,15.8772295060084,101.691362461788,8.07090845168136,3.00020937473979,58.4786973404742,0
SCOPE_1,2014_345/2014-12-11T23-24-04+00-00,2014-12-11 23:24:04,22.6746,-157.9681,0.00766547163558582,2277.73616,180.027,beads,38,0.725362175385128,740.020173848979,186.813548900281,1322.01218082586,58.5851092072779,0
SCOPE_1,2014_345/2014-12-11T23-24-04+00-00,2014-12-11 23:24:04,22.6746,-157.9681,0.00766547163558582,2277.73616,180.027,picoeuk,219,4.18037674761429,560.916014741013,986.11400043519,7.28186122936255,58.537901826016,0
SCOPE_1,2014_345/2014-12-11T23-24-04+00-00,2014-12-11 23:24:04,22.6746,-157.9681,0.00766547163558582,2277.73616,180.027,prochloro,17841,340.557541343317,6.48045834473688,8.75914203379804,1.4398789755929,58.4503700857172,0
SCOPE_1,2014_345/2014-12-11T23-24-04+00-00,2014-12-11 23:24:04,22.6746,-157.9681,0.00766547163558582,2277.73616,180.027,synecho,161,3.07324500623699,64.079876689797,71.0506490931442,83.7691923912828,58.5042683941513,0
SCOPE_1,2014_345/2014-12-11T23-24-04+00-00,2014-12-11 23:24:04,22.6746,-157.9681,0.00766547163558582,2277.73616,180.027,unknown,824,15.7289061188775,94.5984948712085,9.7753121723911,2.27647382799202,58.4776473927593,0
SCOPE_1,2014_345/2014-12-11T23-27-04+00-00,2014-12-11 23:27:04,22.6747,-157.968,0.00760733998329912,2277.73616,180.141,beads,54,1.03799723949129,749.485726404822,167.161948472618,1353.19664233382,58.5653717535247,0
SCOPE_1,2014_345/2014-12-11T23-27-04+00-00,2014-12-11 23:27:04,22.6747,-157.968,0.00760733998329912,2277.73616,180.141,picoeuk,159,3.0563252051688,557.640896165723,920.293205339444,14.4795497217692,58.5377554002614,0
SCOPE_1,2014_345/2014-12-11T23-27-04+00-00,2014-12-11 23:27:04,22.6747,-157.968,0.00760733998329912,2277.73616,180.141,prochloro,17964,345.307081670769,6.56970367062742,8.75782781471175,1.43993292473651,58.4567618369306,0
